LocationID,Borough,Zone,service_zone,Latitude,Longitude
126,Bronx,Hunts Point,Boro Zone,40.8115,-73.8831
127,Manhattan,Inwood,Boro Zone,40.8677,-73.9212
128,Manhattan,Inwood Hill Park,Boro Zone,40.8696,-73.9316
129,Queens,Jackson Heights,Boro Zone,40.7557,-73.8831
130,Queens,Jamaica,Boro Zone,40.7027,-73.7889
131,Queens,Jamaica Estates,Boro Zone,40.721,-73.7821
132,Queens,JFK Airport,Airports,40.6413,-73.7781
133,Brooklyn,Kensington,Boro Zone,40.6376,-73.9746
134,Queens,Kew Gardens,Boro Zone,40.7128,-73.8255
135,Queens,Kew Gardens Hills,Boro Zone,40.7358,-73.8204
136,Bronx,Kingsbridge Heights,Boro Zone,40.8704,-73.8956
137,Manhattan,Kips Bay,Yellow Zone,40.7423,-73.9801
138,Queens,LaGuardia Airport,Airports,40.7769,-73.874
139,Queens,Laurelton,Boro Zone,40.6689,-73.7512
140,Manhattan,Lenox Hill East,Yellow Zone,40.7681,-73.9596
141,Manhattan,Lenox Hill West,Yellow Zone,40.7681,-73.9705
142,Manhattan,Lincoln Square East,Yellow Zone,40.7724,-73.9835
143,Manhattan,Lincoln Square West,Yellow Zone,40.7734,-73.9857
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,40.7203,-73.9945
145,Queens,Long Island City/Hunters Point,Boro Zone,40.745,-73.9476
146,Queens,Long Island City/Queens Plaza,Boro Zone,40.7485,-73.9402
147,Bronx,Longwood,Boro Zone,40.8229,-73.8966
148,Manhattan,Lower East Side,Yellow Zone,40.715,-73.9843
149,Brooklyn,Madison,Boro Zone,40.6081,-73.9484
150,Brooklyn,Manhattan Beach,Boro Zone,40.576,-73.9439
151,Manhattan,Manhattan Valley,Yellow Zone,40.8006,-73.9654
152,Manhattan,Manhattanville,Boro Zone,40.8136,-73.9589
153,Manhattan,Marble Hill,Boro Zone,40.8761,-73.91
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,40.6032,-73.8894
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,40.6096,-73.9091
156,Staten Island,Mariners Harbor,Boro Zone,40.6324,-74.1652
157,Queens,Maspeth,Boro Zone,40.7273,-73.8962
158,Manhattan,Meatpacking/West Village West,Yellow Zone,40.741,-74.0079
159,Bronx,Melrose South,Boro Zone,40.8226,-73.9157
160,Queens,Middle Village,Boro Zone,40.7164,-73.8744
161,Manhattan,Midtown Center,Yellow Zone,40.7591,-73.9786
162,Manhattan,Midtown East,Yellow Zone,40.7553,-73.9681
163,Manhattan,Midtown North,Yellow Zone,40.7622,-73.9784
164,Manhattan,Midtown South,Yellow Zone,40.7549,-73.984
165,Brooklyn,Midwood,Boro Zone,40.6201,-73.9635
166,Manhattan,Morningside Heights,Boro Zone,40.81,-73.9625
167,Bronx,Morrisania/Melrose,Boro Zone,40.8259,-73.912
168,Bronx,Mott Haven/Port Morris,Boro Zone,40.8079,-73.9167
169,Bronx,Mount Hope,Boro Zone,40.8489,-73.907
170,Manhattan,Murray Hill,Yellow Zone,40.7479,-73.9757
171,Queens,Murray Hill-Queens,Boro Zone,40.7639,-73.8116
172,Staten Island,New Dorp/Midland Beach,Boro Zone,40.5701,-74.105
173,Queens,North Corona,Boro Zone,40.7541,-73.8615
174,Bronx,Norwood,Boro Zone,40.8772,-73.8786
175,Queens,Oakland Gardens,Boro Zone,40.7456,-73.7588
176,Staten Island,Oakwood,Boro Zone,40.5608,-74.1115
177,Brooklyn,Ocean Hill,Boro Zone,40.6775,-73.9051
178,Brooklyn,Ocean Parkway South,Boro Zone,40.609,-73.9724
179,Queens,Old Astoria,Boro Zone,40.7706,-73.924
180,Queens,Ozone Park,Boro Zone,40.6794,-73.8507
181,Brooklyn,Park Slope,Boro Zone,40.6701,-73.9852
182,Bronx,Parkchester,Boro Zone,40.8385,-73.8566
183,Bronx,Pelham Bay,Boro Zone,40.8498,-73.8331
184,Bronx,Pelham Bay Park,Boro Zone,40.8646,-73.8205
185,Bronx,Pelham Parkway,Boro Zone,40.8551,-73.8636
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.7514,-73.9943
187,Staten Island,Port Richmond,Boro Zone,40.6355,-74.1254
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.6584,-73.9542
189,Brooklyn,Prospect Heights,Boro Zone,40.6779,-73.9666
190,Brooklyn,Prospect Park,Boro Zone,40.6615,-73.968
191,Queens,Queens Village,Boro Zone,40.7171,-73.7367
192,Queens,Queensboro Hill,Boro Zone,40.7448,-73.8141
193,Queens,Queensbridge/Ravenswood,Boro Zone,40.7556,-73.9452
194,Manhattan,Randalls Island,Yellow Zone,40.7932,-73.9213
195,Brooklyn,Red Hook,Boro Zone,40.676,-74.0094
196,Queens,Rego Park,Boro Zone,40.7256,-73.8625
197,Queens,Richmond Hill,Boro Zone,40.6951,-73.8294
198,Queens,Ridgewood,Boro Zone,40.7028,-73.8998
199,Bronx,Rikers Island,Boro Zone,40.7939,-73.8861
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,40.895,-73.912
201,Queens,Rockaway Park,Boro Zone,40.5798,-73.8371
202,Manhattan,Roosevelt Island,Boro Zone,40.7618,-73.9506
203,Queens,Rosedale,Boro Zone,40.6594,-73.7352
204,Staten Island,Rossville/Woodrow,Boro Zone,40.5493,-74.1976
205,Queens,Saint Albans,Boro Zone,40.6984,-73.7643
206,Staten Island,Saint George/New Brighton,Boro Zone,40.6437,-74.0794
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,40.746,-73.9031
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.8262,-73.8264
209,Manhattan,Seaport,Yellow Zone,40.7076,-74.0014
210,Brooklyn,Sheepshead Bay,Boro Zone,40.5873,-73.9439
211,Manhattan,SoHo,Yellow Zone,40.7233,-74.003
212,Bronx,Soundview/Bruckner,Boro Zone,40.8266,-73.8682
213,Bronx,Soundview/Castle Hill,Boro Zone,40.8184,-73.8504
214,Staten Island,South Beach/Dongan Hills,Boro Zone,40.5866,-74.087
215,Queens,South Jamaica,Boro Zone,40.6808,-73.7913
216,Queens,South Ozone Park,Boro Zone,40.6752,-73.8107
217,Brooklyn,South Williamsburg,Boro Zone,40.7045,-73.9571
218,Queens,Springfield Gardens North,Boro Zone,40.6885,-73.7538
219,Queens,Springfield Gardens South,Boro Zone,40.6722,-73.7548
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,40.8815,-73.9156
221,Staten Island,Stapleton,Boro Zone,40.6279,-74.0758
222,Brooklyn,Starrett City,Boro Zone,40.649,-73.882
223,Queens,Steinway,Boro Zone,40.7758,-73.9023
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,40.7317,-73.9788
225,Brooklyn,Stuyvesant Heights,Boro Zone,40.6831,-73.9345
226,Queens,Sunnyside,Boro Zone,40.7434,-73.9196
227,Brooklyn,Sunset Park East,Boro Zone,40.6534,-74.0053
228,Brooklyn,Sunset Park West,Boro Zone,40.6451,-74.0128
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.7563,-73.9653
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.758,-73.9855
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.7162,-74.0076
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,40.7113,-73.988
233,Manhattan,UN/Turtle Bay South,Yellow Zone,40.7518,-73.9677
234,Manhattan,Union Sq,Yellow Zone,40.7359,-73.9911
235,Bronx,University Heights/Morris Heights,Boro Zone,40.8565,-73.9246
236,Manhattan,Upper East Side North,Yellow Zone,40.7806,-73.9526
237,Manhattan,Upper East Side South,Yellow Zone,40.7641,-73.9623
238,Manhattan,Upper West Side North,Yellow Zone,40.7959,-73.9704
239,Manhattan,Upper West Side South,Yellow Zone,40.7759,-73.9823
240,Bronx,Van Cortlandt Park,Boro Zone,40.8954,-73.8979
241,Bronx,Van Cortlandt Village,Boro Zone,40.8862,-73.8845
242,Bronx,Van Nest/Morris Park,Boro Zone,40.8489,-73.8663
243,Manhattan,Washington Heights North,Boro Zone,40.8519,-73.9364
244,Manhattan,Washington Heights South,Boro Zone,40.8402,-73.9388
245,Staten Island,West Brighton,Boro Zone,40.6244,-74.1141
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,40.7495,-74.0023
247,Bronx,West Concourse,Boro Zone,40.8471,-73.9125
248,Bronx,West Farms/Bronx River,Boro Zone,40.8405,-73.8811
249,Manhattan,West Village,Yellow Zone,40.734,-74.0068
250,Bronx,Westchester Village/Unionport,Boro Zone,40.8345,-73.8633
251,Staten Island,Westerleigh,Boro Zone,40.6211,-74.1332
252,Queens,Whitestone,Boro Zone,40.7902,-73.8097
253,Queens,Willets Point,Boro Zone,40.7618,-73.8462
254,Bronx,Williamsbridge/Olinville,Boro Zone,40.8777,-73.8634
255,Brooklyn,Williamsburg (North Side),Boro Zone,40.7217,-73.957
256,Brooklyn,Williamsburg (South Side),Boro Zone,40.7101,-73.9655
257,Brooklyn,Windsor Terrace,Boro Zone,40.6556,-73.9757
258,Queens,Woodhaven,Boro Zone,40.6886,-73.8567
259,Bronx,Woodlawn/Wakefield,Boro Zone,40.9026,-73.8568
260,Queens,Woodside,Boro Zone,40.7463,-73.9068
261,Manhattan,World Trade Center,Yellow Zone,40.7128,-74.0134
262,Manhattan,Yorkville East,Yellow Zone,40.7762,-73.9492
263,Manhattan,Yorkville West,Yellow Zone,40.7765,-73.9519
264,Unknown,N/A,N/A,,
265,N/A,Outside of NYC,N/A,,
